Año;Mes;Centro;Visitantes;fecha
2021;Abril;CENTRO DE ARQUEOLOGIA EXPERIMENTAL;1023;2021-04
2021;Abril;MUSEO ETNOGRÁFICO DE CASTILLA Y LEÓN (MECYL);1360;2021-04
2021;Abril;MUSEO DE LA SIDERURGIA Y LA MINERÍA DE CASTILLA Y LEÓN (MSM);3478;2021-04
2021;Abril;CENTRO CULTURAL MIGUEL DELIBES (programación propia);2621;2021-04
2021;Abril;MUSEO DE LA EVOLUCIÓN HUMANA (MEH);9899;2021-04
2021;Mayo;CENTRO CULTURAL MIGUEL DELIBES (programación propia);3104;2021-05
2021;Mayo;MUSEO ETNOGRÁFICO DE CASTILLA Y LEÓN (MECYL);1903;2021-05
2021;Mayo;MUSEO DE LA EVOLUCIÓN HUMANA (MEH);12867;2021-05
2021;Mayo;MUSEO DE ARTE CONTEMPORÁNEO DE CASTILLA Y LEÓN (MUSAC);2461;2021-05
2021;Mayo;CENTRO DE ACCESO A LOS YACIMIENTOS DE ATAPUERCA;569;2021-05
2021;Mayo;CENTRO DE ARQUEOLOGIA EXPERIMENTAL;1295;2021-05
2021;Mayo;MUSEO DE LA SIDERURGIA Y LA MINERÍA DE CASTILLA Y LEÓN (MSM);2213;2021-05
2021;Mayo;PALACIO DE QUINTANAR;757;2021-05
2021;Junio;MUSEO DE LA EVOLUCIÓN HUMANA (MEH);15111;2021-06
2021;Junio;CENTRO DE ARQUEOLOGIA EXPERIMENTAL;3158;2021-06
2021;Junio;CENTRO CULTURAL MIGUEL DELIBES (programación propia);4653;2021-06
2021;Junio;CENTRO DE ACCESO A LOS YACIMIENTOS DE ATAPUERCA;1286;2021-06
2021;Junio;MUSEO DE ARTE CONTEMPORÁNEO DE CASTILLA Y LEÓN (MUSAC);1604;2021-06
2021;Junio;MUSEO DE LA SIDERURGIA Y LA MINERÍA DE CASTILLA Y LEÓN (MSM);2249;2021-06
2021;Junio;MUSEO ETNOGRÁFICO DE CASTILLA Y LEÓN (MECYL);2379;2021-06
2021;Junio;PALACIO DE QUINTANAR;888;2021-06
2021;Julio;CENTRO CULTURAL MIGUEL DELIBES (programación propia);245;2021-07
2021;Julio;CENTRO DE ARQUEOLOGIA EXPERIMENTAL;7702;2021-07
2021;Julio;MUSEO DE ARTE CONTEMPORÁNEO DE CASTILLA Y LEÓN (MUSAC);2320;2021-07
2021;Julio;MUSEO ETNOGRÁFICO DE CASTILLA Y LEÓN (MECYL);3279;2021-07
2021;Julio;PALACIO DE QUINTANAR;1034;2021-07
2021;Julio;MUSEO DE LA EVOLUCIÓN HUMANA (MEH);29425;2021-07
2021;Julio;CENTRO DE ACCESO A LOS YACIMIENTOS DE ATAPUERCA;3461;2021-07
2021;Julio;MUSEO DE LA SIDERURGIA Y LA MINERÍA DE CASTILLA Y LEÓN (MSM);4321;2021-07
2021;Agosto;CENTRO CULTURAL MIGUEL DELIBES (programación propia);0;2021-08
2021;Agosto;MUSEO ETNOGRÁFICO DE CASTILLA Y LEÓN (MECYL);3823;2021-08
2021;Agosto;MUSEO DE LA EVOLUCIÓN HUMANA (MEH);55825;2021-08
2021;Agosto;CENTRO DE ACCESO A LOS YACIMIENTOS DE ATAPUERCA;17965;2021-08
2021;Agosto;MUSEO DE LA SIDERURGIA Y LA MINERÍA DE CASTILLA Y LEÓN (MSM);7582;2021-08
